longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,rooms_per_household,bedrooms_per_room,population_per_household,log_population,dist_to_la,dist_to_sf,dist_to_sd,dist_to_sacramento,dist_to_nearest_city,ocean_<1H OCEAN,ocean_INLAND,ocean_ISLAND,ocean_NEAR BAY,ocean_NEAR OCEAN
-122.06,37.96,10.0,7136.0,1691.0,2959.0,1507.0,3.9816,182000.0,4.735235567352356,0.23696748878923768,1.9635036496350364,7.992944547318106,5.4663058824035895,0.4070626487409508,7.1740922770759,0.8421995013059586,0.4070626487409508,False,False,False,True,False
-121.77,37.33,8.0,3088.0,474.0,1799.0,456.0,7.2707,355300.0,6.771929824561403,0.15349740932642486,3.9451754385964914,7.495541943884256,4.8186408872212105,0.7849203781276236,6.519524522539967,1.2809761902549168,0.7849203781276236,True,False,False,False,False
-119.32,36.32,29.0,2409.0,436.0,1142.0,440.0,3.6895,87700.0,5.475,0.1809879618098796,2.5954545454545452,7.04141166379481,2.5138217916153107,3.4223529917295297,4.1982853642886155,3.133129425989293,2.5138217916153107,False,True,False,False,False
-117.05,34.03,28.0,3009.0,698.0,1200.0,626.0,1.3993,104600.0,4.806709265175719,0.2319707544034563,1.9169329073482428,7.0909098220799835,1.190168055360248,6.544043092767656,1.3146102083887854,6.357365806684397,1.190168055360248,False,True,False,False,False
-122.0,37.34,31.0,3344.0,620.0,1604.0,572.0,5.2108,351500.0,5.846153846153846,0.1854066985645933,2.804195804195804,7.380879035564116,4.996168531985293,0.6010823570859497,6.691038783328048,1.3407833531186135,0.6010823570859497,True,False,False,False,False
-117.72,33.97,16.0,13290.0,2062.0,6931.0,2023.0,5.228,187800.0,6.569451309935739,0.15515425131677954,3.426099851705388,8.843903650835497,0.526117857518632,6.044005294504635,1.3697079980784235,5.955249784853693,0.526117857518632,True,False,False,False,False
-118.35,33.9,31.0,981.0,222.0,734.0,239.0,4.875,232400.0,4.104602510460251,0.22629969418960244,3.071129707112971,6.5998704992128365,0.18601075237738127,5.616208685581412,1.6758579892103012,5.635778562008979,0.18601075237738127,True,False,False,False,False
-118.25,34.11,43.0,2230.0,583.0,1667.0,543.0,2.8667,217800.0,4.106813996316759,0.26143497757847534,3.0699815837937385,7.419380582918692,0.06082762530298528,5.548378141403129,1.766408786210035,5.520733646898749,0.06082762530298528,True,False,False,False,False
-120.45,34.95,10.0,2207.0,644.0,2232.0,543.0,2.375,98500.0,4.064456721915286,0.291798821930222,4.110497237569061,7.711101251840158,2.3862313383241043,3.439956395072472,3.9745439990016536,3.776042902298642,2.3862313383241043,True,False,False,False,False
-117.15,32.71,52.0,217.0,82.0,531.0,93.0,1.6607,137500.0,2.3333333333333335,0.3778801843317972,5.709677419354839,6.2766434893416445,1.7273389939441437,7.305922255266612,0.014142135623723113,7.300171230868484,0.014142135623723113,False,False,False,False,True
-117.9,33.73,26.0,1324.0,314.0,1804.0,311.0,3.9659,178500.0,4.257234726688103,0.23716012084592145,5.80064308681672,7.498315870766981,0.4669047011971424,6.062342781466585,1.2520782723136799,6.034119654100334,0.4669047011971424,True,False,False,False,False
-118.4,34.7,10.0,4122.0,814.0,2164.0,710.0,4.2941,151600.0,5.805633802816901,0.19747695293546821,3.047887323943662,7.68017564043659,0.6694027188471905,5.058191376371595,2.3362362894193813,4.960090724976701,0.6694027188471905,False,True,False,False,False
